run_id	sequence_accession	score	percent_identity	n_reads	viral_name	BioSample
DRR062881	NC_007605.1	100	99	6252187	Epstein-Barr virus	SAMD00004763
DRR062908	NC_010277.2	86	100	4324	Merkel cell polyomavirus	SAMD00005532
DRR128397	NC_007605.1	97	100	24111	Epstein-Barr virus	SAMD00115874
DRR142743	NC_001405.1	84	99	4951	Human adenovirus	SAMD00131349
DRR142744	NC_001405.1	87	99	19513	Human adenovirus	SAMD00131350
DRR180599	NC_007605.1	86	98	1192	Epstein-Barr virus	SAMD00172745
DRR180600	NC_007605.1	69	99	465	Epstein-Barr virus	SAMD00172747
DRR180601	NC_007605.1	97	98	1680	Epstein-Barr virus	SAMD00172749
DRR180602	NC_007605.1	56	98	283	Epstein-Barr virus	SAMD00172751
DRR180603	NC_007605.1	76	98	469	Epstein-Barr virus	SAMD00172753
DRR180604	NC_007605.1	85	98	748	Epstein-Barr virus	SAMD00172755
DRR201719	NC_006273.2	51	97	243	Human cytomegalovirus	SAMD00195836
DRR212840	NC_007605.1	100	99	47371	Epstein-Barr virus	SAMD00207286
DRR212841	NC_007605.1	100	99	31035	Epstein-Barr virus	SAMD00207287
DRR212842	NC_007605.1	100	99	16738	Epstein-Barr virus	SAMD00207288
DRR212843	NC_007605.1	100	99	11562	Epstein-Barr virus	SAMD00207289
DRR212844	NC_007605.1	100	99	4958	Epstein-Barr virus	SAMD00207290
ERR1050073	NC_007605.1	97	100	460535	Epstein-Barr virus	SAMN00001694
ERR1050074	NC_007605.1	97	100	296471	Epstein-Barr virus	SAMN00001695
ERR1050075	NC_007605.1	97	100	473598	Epstein-Barr virus	SAMN00001696
ERR1050076	NC_007605.1	97	100	208168	Epstein-Barr virus	SAMN00006465
ERR1050077	NC_007605.1	97	100	548087	Epstein-Barr virus	SAMN00006466
ERR1050078	NC_007605.1	97	100	798606	Epstein-Barr virus	SAMN00006467
ERR1050079	NC_007605.1	97	100	451879	Epstein-Barr virus	SAMN00006579
ERR1050080	NC_007605.1	97	100	1205692	Epstein-Barr virus	SAMN00006580
ERR1050081	NC_007605.1	97	100	546425	Epstein-Barr virus	SAMN00006581
ERR1377146	NC_001405.1	69	97	270	Human adenovirus	SAMEA3940365
ERR1473112	NC_000883.2	81	99	3769	Human parvovirus B19	SAMEA4050398
ERR1473140	NC_000883.2	98	99	56922	Human parvovirus B19	SAMEA4050426
ERR1473141	NC_000883.2	88	99	9761	Human parvovirus B19	SAMEA4050427
ERR1473182	NC_000883.2	82	99	1910	Human parvovirus B19	SAMEA4050467
ERR1473192	NC_000883.2	88	99	2510	Human parvovirus B19	SAMEA4050477
ERR1473206	NC_000883.2	86	99	2298	Human parvovirus B19	SAMEA4050491
ERR1473221	NC_000883.2	79	99	1850	Human parvovirus B19	SAMEA4050506
ERR1473244	NC_000883.2	75	99	1967	Human parvovirus B19	SAMEA4050529
ERR1473258	NC_000883.2	79	99	2357	Human parvovirus B19	SAMEA4050543
ERR1473259	NC_000883.2	81	99	1988	Human parvovirus B19	SAMEA4050544
ERR1473388	NC_000883.2	87	99	2375	Human parvovirus B19	SAMEA4050663
ERR1473453	NC_000883.2	84	99	2256	Human parvovirus B19	SAMEA4050727
ERR1473474	NC_000883.2	81	99	2346	Human parvovirus B19	SAMEA4050748
ERR1473580	NC_000883.2	84	99	2487	Human parvovirus B19	SAMEA4050851
ERR1473581	NC_000883.2	85	99	3415	Human parvovirus B19	SAMEA4050852
ERR1473596	NC_000883.2	83	99	1960	Human parvovirus B19	SAMEA4050867
ERR1473597	NC_000883.2	87	99	5048	Human parvovirus B19	SAMEA4050868
ERR150458	NC_007605.1	99	99	187497	Epstein-Barr virus	SAMEA2011551
ERR150459	NC_007605.1	98	99	90956	Epstein-Barr virus	SAMEA2011552
ERR150460	NC_007605.1	97	100	61379	Epstein-Barr virus	SAMEA2042059
ERR169801	NC_001405.1	100	98	25553684	Human adenovirus	SAMEA1557279
ERR169802	NC_001405.1	68	98	404	Human adenovirus	SAMEA1557280
ERR169803	NC_001405.1	100	98	859027	Human adenovirus	SAMEA1557278
ERR1739458	NC_001348.1	84	99	316	Varicella-zoster virus	SAMEA4555842
ERR1739459	NC_001348.1	66	99	200	Varicella-zoster virus	SAMEA4555843
ERR1739466	NC_001348.1	96	99	404	Varicella-zoster virus	SAMEA4555850
ERR1739473	NC_001348.1	50	99	167	Varicella-zoster virus	SAMEA4555857
ERR1739474	NC_001348.1	90	99	438	Varicella-zoster virus	SAMEA4555858
ERR1739477	NC_001348.1	100	99	451	Varicella-zoster virus	SAMEA4555861
ERR1739481	NC_001348.1	100	99	610	Varicella-zoster virus	SAMEA4555865
ERR188021	NC_007605.1	100	99	98685	Epstein-Barr virus	SAMEA1573446
ERR188022	NC_007605.1	99	99	85398	Epstein-Barr virus	SAMEA1573207
ERR188023	NC_007605.1	97	100	313928	Epstein-Barr virus	SAMEA1573500
