Adeno-associated virus	Dependovirus,Parvoviridae	NC_001401	TRUE	12669
Aichi virus	Kobuvirus,Picornaviridae	NC_001918	FALSE	3580
Australian bat lyssavirus	Lyssavirus,Rhabdoviridae	NC_003243	FALSE	908
BK polyomavirus	Polyomavirus,Polyomaviridae	NC_001538	TRUE	8850
Banna virus	Seadornavirus,Reoviridae	NC_004211, NC_004217, NC_004218, NC_004219, NC_004220, NC_004221, NC_004204, NC_004203, NC_004202,  NC_004201,  NC_004200	FALSE	1958
Barmah forest virus	Alphavirus,Togaviridae	NC_001786	FALSE	994
Bunyamwera virus	Orthobunyavirus,Bunyaviridae	NC_001925, NC_001926, NC_001927	FALSE	1726
Bunyavirus La Crosse	Orthobunyavirus,Bunyaviridae	NC_004108, NC_004109, NC_004110	FALSE	2288
Bunyavirus snowshoe hare	Orthobunyavirus,Bunyaviridae	Not available	FALSE	0
Cercopithecine herpesvirus	Lymphocryptovirus,Herpesviridae	NC_006560	TRUE	212615
Chandipura virus	Vesiculovirus,Rhabdoviridae	Not available	FALSE	0
Chikungunya virus	Alphavirus,Togaviridae	NC_004162	FALSE	4786
Cosavirus A	Cosavirus,Picornaviridae	NC_012800	FALSE	1256
Cowpox virus	Orthopoxvirus,Poxviridae	NC_003663	FALSE	304974
Coxsackievirus	Enterovirus,Picornaviridae	NC_001612	FALSE	3297
Crimean-Congo hemorrhagic fever virus	Nairovirus,Bunyaviridae	NC_005301, NC_005300, NC_005302	FALSE	1707
Dengue virus	Flavivirus,Flaviviridae	NC_001477	FALSE	3915
Dhori virus	Thogotovirus,Orthomyxoviridae	Not available	FALSE	0
Dugbe virus	Nairovirus,Bunyaviridae	NC_004159, NC_004158, NC_004157	FALSE	0
Duvenhage virus	Lyssavirus,Rhabdoviridae	Not available	FALSE	0
Eastern equine encephalitis virus	Alphavirus,Togaviridae	NC_003899	FALSE	1510
Ebolavirus	Ebolavirus,Filoviridae	NC_002549	FALSE	13663
Echovirus	Enterovirus,Picornaviridae	NC_001897	FALSE	2726
Encephalomyocarditis virus	Cardiovirus,Picornaviridae	NC_001479	FALSE	100630
Epstein-Barr virus	Lymphocryptovirus,Herpesviridae	NC_007605	TRUE	104260
European bat lyssavirus	Lyssavirus,Rhabdovirus	NC_009527	FALSE	1520
GB virus C/Hepatitis G virus	Pegivirus,Flaviviridae	NC_001710	FALSE	14074
Hantaan virus	Hantavirus,Bunyaviridae	NC_005222, NC_005219, NC_005218	FALSE	2876
Hendra virus	Henipavirus,paramyxoviridae	NC_001906	FALSE	1942
Hepatitis A virus	Hepatovirus,picornaviridae	NC_001489	FALSE	17712
Hepatitis B virus	Orthohepadnavirus,Hepadnaviridae	NC_003977	FALSE	44335
Hepatitis C virus	Hepacivirus,Flaviviridae	NC_004102	FALSE	6231
Hepatitis E virus	Hepevirus,Unassigned	NC_001434	FALSE	2300
Hepatitis delta virus	Deltavirus,Unassigned	NC_001653	FALSE	8936
Horsepox virus	Orthopoxvirus,Poxviridae	Not available	FALSE	0
Human adenovirus	Mastadenovirus,Adenoviridae	NC_001405	TRUE	330512
Human astrovirus	Mamastrovirus,Astroviridae	NC_001943	FALSE	3203
Human coronavirus	Alphacoronavirus,Coronaviridae	NC_002645	FALSE	3520
Human cytomegalovirus	Cytomegalovirus,Herpesviridae	NC_006273	TRUE	631133
Human enterovirus 68, 70	Enterovirus,Picornaviridae	NC_001430	FALSE	5535
Human herpesvirus 1	Simplexvirus,Herpesviridae	NC_001806	TRUE	136874
Human herpesvirus 2	Simplexvirus,Herpesviridae	NC_001798	TRUE	101688
Human herpesvirus 6	Roseolovirus,Herpesviridae	NC_001664	TRUE	39398
Human herpesvirus 7	Roseolovirus,Herpesviridae	NC_001716	TRUE	321313
Human herpesvirus 8	Rhadinovirus,Herpesviridae	NC_009333	TRUE	558274
Human immunodeficiency virus	Lentivirus,Retroviridae	NC_001802	FALSE	0
Human papillomavirus 1	Mupapillomavirus,Papillomaviridae	NC_001356	FALSE	3491
Human papillomavirus 2	Alphapapillomavirus,Papillomaviridae	NC_001352	FALSE	4616
Human papillomavirus 16,18	Alphapapillomavirus,Papillomaviridae	NC_001526	FALSE	26631
Human parainfluenza	Respirovirus,Paramyxoviridae	NC_003461	FALSE	4515
Human parvovirus B19	Erythrovirus,Parvoviridae	NC_000883	TRUE	3592
Human respiratory syncytial virus	Pneumovirus,Paramyxoviridae	NC_001781	FALSE	7296
Human rhinovirus	Enterovirus,Picornaviridae	NC_001617	FALSE	2844
Human SARS coronavirus	Betacoronavirus,Coronaviridae	NC_004718	FALSE	1903
Human spumaretrovirus	Spumavirus,Retroviridae	Not available	FALSE	0
Human T-lymphotropic virus	Deltaretrovirus,Retroviridae	NC_001436	FALSE	0
Human torovirus	Torovirus,Coronaviridae	Not available	FALSE	0
Influenza A virus	Influenzavirus A,Orthomyxoviridae	NC_002023, NC_002021, NC_002022, NC_002017, NC_002019, NC_002018, NC_002016 ,NC_002020	FALSE	55337
Influenza B virus	Influenzavirus B,Orthomyxoviridae	NC_002204, NC_002205, NC_002206, NC_002207, NC_002208, NC_002209, NC_002210, NC_002211	FALSE	12053
Influenza C virus	Influenzavirus C,Orthomyxoviridae	NC_006307, NC_006308, NC_006309, NC_006310, NC_006311, NC_006312, NC_006306 	FALSE	3495
Isfahan virus	Vesiculovirus,Rhabdoviridae	Not available	FALSE	0
JC polyomavirus	Polyomavirus,Polyomaviridae	NC_001699	TRUE	8822
Japanese encephalitis virus	Flavivirus,Flaviviridae	NC_001437	FALSE	3752
Junin arenavirus	Arenavirus,Arenaviridae	NC_005081, NC_005080	FALSE	1648
KI Polyomavirus	Polyomavirus,Polyomaviridae	NC_009238	TRUE	11301
Kunjin virus	Flavivirus,Flaviviridae	Not available	FALSE	0
Lagos bat virus	Lyssavirus,Rhabdoviridae	Not available	FALSE	0
Lake Victoria marburgvirus	Marburgvirus,Filoviridae	NC_001608	FALSE	3395
Langat virus	Flavivirus,Flaviviridae	NC_003690	FALSE	1408
Lassa virus	Arenavirus,Arenaviridae	NC_004297, NC_004296	FALSE	4273
Lordsdale virus	Norovirus,Caliciviridae	Not available	FALSE	0
Louping ill virus	Flavivirus,Flaviviridae	NC_001809	FALSE	8936
Lymphocytic choriomeningitis virus	Arenavirus,Arenaviridae	NC_004291, NC_004294	FALSE	4869
Machupo virus	Arenavirus,Arenaviridae	NC_005079, NC_005078	FALSE	1511
Mayaro virus	Alphavirus,Togaviridae	NC_003417	FALSE	1097
MERS coronavirus	Betacoronavirus,Coronaviridae	NC_019843	FALSE	2246
Measles virus	Morbilivirus,Paramyxoviridae	NC_001498	FALSE	3219
Mengo encephalomyocarditis virus	Cardiovirus,Picornaviridae	Not available	FALSE	0
Merkel cell polyomavirus	Polyomavirus,Polyomaviridae	NC_010277	TRUE	12116
Mokola virus	Lyssavirus,Rhabdoviridae	NC_006429	FALSE	1104
Molluscum contagiosum virus	Molluscipoxvirus,Poxviridae	NC_001731	FALSE	720366
Monkeypox virus	Orthopoxvirus,Poxviridae	NC_003310	FALSE	502268
Mumps virus	Rubulavirus,Paramyxoviridae	NC_002200	FALSE	2779
Murray valley encephalitis virus	Flavivirus,Flaviviridae	NC_000943	FALSE	1733
New York virus	Hantavirus,Bunyavirus	Not available	FALSE	0
Nipah virus	Henipavirus,Paramyxoviridae	NC_002728	FALSE	7085
Norwalk virus	Norovirus,Caliciviridae	NC_001959	FALSE	3889
O’nyong-nyong virus	Alphavirus,Togaviridae	NC_001512	FALSE	3516
Orf virus	Parapoxvirus,Poxviridae	NC_005336	FALSE	153379
Oropouche virus	Orthobunyavirus,Bunyaviridae	NC_005777, NC_005775, NC_005776 	FALSE	1748
Pichinde virus	Arenavirus,Arenaviridae	NC_006447, NC_006439	FALSE	840
Poliovirus	Enterovirus,Picornaviridae	NC_002058	FALSE	7540
Punta toro phlebovirus	Phlebovirus,Bunyaviridae	Not available	FALSE	0
Puumala virus	Hantavirus,Bunyavirus	NC_005223, NC_005224, NC_005225	FALSE	1239
Rabies virus	Lyssavirus,Rhabdoviridae	NC_001542	FALSE	2705
Rift valley fever virus	Phlebovirus,Bunyaviridae	NC_002043, NC_002044, NC_002045	FALSE	0
Rosavirus A	Rosavirus,Picornaviridae	NC_024070	FALSE	1358
Ross river virus	Alphavirus,Togaviridae	NC_001544	FALSE	1445
Rotavirus A	Rotavirus,Reoviridae	NC_011507, NC_011506, NC_011508, NC_011510, NC_011500, NC_011509, NC_011501, NC_011503, NC_011504, NC_011505	FALSE	49564
Rotavirus B	Rotavirus,Reoviridae	NC_007548, NC_007549, NC_007550, NC_007551, NC_007552, NC_007553, NC_007554, NC_007555, NC_007556, NC_007557, NC_007558	FALSE	3662
Rotavirus C	Rotavirus,Reoviridae	NC_007547, NC_007546, NC_007572, NC_007574, NC_007570, NC_007543, NC_007544, NC_007571, NC_007545, NC_007569, NC_007573	FALSE	7900
Rubella virus	Rubivirus,Togaviridae	NC_001545	FALSE	3557
Sagiyama virus	Alphavirus,Togaviridae	Not available	FALSE	0
Salivirus A	Salivirus,Picornaviridae	NC_012957	FALSE	1751
Sandfly fever sicilian virus	Phlebovirus,Bunyaviridae	Not available	FALSE	0
Sapporo virus	Sapovirus,Caliciviridae	NC_006554	FALSE	819
Semliki forest virus	Alphavirus,Togaviridae	NC_003215	FALSE	1922
Seoul virus	Hantavirus,Bunyavirus	NC_005236, NC_005237, NC_005238	FALSE	4537
Simian foamy virus	Spumavirus,Retroviridae	NC_001364	FALSE	0
Simian virus 5	Rubulavirus,Paramyxoviridae	Not available	FALSE	0
Sindbis virus	Alphavirus,Togaviridae	NC_001547	FALSE	3481
Southampton virus	Norovirus,Caliciviridae	Not available	FALSE	0
St. louis encephalitis virus	Flavivirus,Flaviviridae	NC_007580	FALSE	2824
Tick-borne powassan virus	Flavivirus,Flaviviridae	NC_003687	FALSE	2696
Torque teno virus	Alphatorquevirus,Anelloviridae	NC_002076	FALSE	5161
Toscana virus	Phlebovirus,Bunyaviridae	NC_006318, NC_006319, NC_006320	FALSE	1612
Uukuniemi virus	Phlebovirus,Bunyaviridae	NC_005214, NC_005220, NC_005221	FALSE	9872
Vaccinia virus	Orthopoxvirus,Poxviridae	NC_006998	FALSE	133202
Varicella-zoster virus	Varicellovirus,Herpesviridae	NC_001348	TRUE	42575
Variola virus	Orthopoxvirus,Poxviridae	NC_001611	FALSE	122615
Venezuelan equine encephalitis virus	Alphavirus,Togaviridae	NC_001449	FALSE	2863
Vesicular stomatitis virus	Vesiculovirus,Rhabdoviridae	NC_001560	FALSE	16522
Western equine encephalitis virus	Alphavirus,Togaviridae	NC_003908	FALSE	1402
