run_id	sequence_accession	score	percent_identity	n_reads	viral_name
ERR2367261	NC_001401.2	100	97	4200	Adeno-associated virus
ERR2596698	NC_001401.2	95	96	864	Adeno-associated virus
ERR2596700	NC_001401.2	59	96	226	Adeno-associated virus
ERR2367317	NC_001401.2	100	97	572	Adeno-associated virus
ERR2367326	NC_001401.2	95	97	2422	Adeno-associated virus
ERR2367327	NC_001401.2	94	97	5154	Adeno-associated virus
ERR2368382	NC_001401.2	92	97	905	Adeno-associated virus
ERR2204074	NC_001401.2	100	96	29684	Adeno-associated virus
ERR2204077	NC_001401.2	96	96	409	Adeno-associated virus
ERR2204078	NC_001401.2	86	97	3042	Adeno-associated virus
ERR2298115	NC_001401.2	83	95	403	Adeno-associated virus
ERR2368489	NC_001401.2	93	97	1315	Adeno-associated virus
ERR2298116	NC_001401.2	72	97	388	Adeno-associated virus
ERR2298117	NC_001401.2	100	96	2938	Adeno-associated virus
ERR2298119	NC_001401.2	51	97	1202	Adeno-associated virus
ERR2217788	NC_001401.2	99	97	13689	Adeno-associated virus
ERR2298121	NC_001401.2	53	97	930	Adeno-associated virus
ERR2298122	NC_001401.2	60	95	2050	Adeno-associated virus
ERR2298125	NC_001401.2	77	95	681	Adeno-associated virus
ERR2298130	NC_001401.2	94	96	5773	Adeno-associated virus
ERR2367485	NC_001401.2	62	97	172	Adeno-associated virus
ERR2217850	NC_001401.2	100	97	90948	Adeno-associated virus
ERR2367214	NC_001401.2	100	96	8435	Adeno-associated virus
ERR2217883	NC_001401.2	100	97	14045	Adeno-associated virus
ERR2217945	NC_001401.2	100	96	93514	Adeno-associated virus
ERR2835275	NC_001401.2	89	96	939	Adeno-associated virus
ERR3179146	NC_001401.2	66	92	157	Adeno-associated virus
ERR2367667	NC_001401.2	100	96	44866	Adeno-associated virus
ERR2367683	NC_001401.2	94	97	4240	Adeno-associated virus
ERR3551072	NC_001401.2	72	95	244	Adeno-associated virus
ERR3551074	NC_001401.2	54	92	151	Adeno-associated virus
ERR3551076	NC_001401.2	92	89	261	Adeno-associated virus
ERR2367699	NC_001401.2	100	96	9404	Adeno-associated virus
ERR3551101	NC_001401.2	100	95	828136	Adeno-associated virus
ERR3551110	NC_001401.2	86	96	776	Adeno-associated virus
ERR3551111	NC_001401.2	61	87	122	Adeno-associated virus
ERR3551114	NC_001401.2	61	92	148	Adeno-associated virus
ERR2367775	NC_001401.2	100	97	32744	Adeno-associated virus
ERR2835350	NC_001401.2	100	96	4379958	Adeno-associated virus
ERR3026572	NC_001401.2	96	99	6728	Adeno-associated virus
ERR3026573	NC_001401.2	96	99	6787	Adeno-associated virus
ERR3026574	NC_001401.2	96	99	6712	Adeno-associated virus
ERR3026575	NC_001401.2	96	98	2500	Adeno-associated virus
ERR2367847	NC_001401.2	100	97	1872	Adeno-associated virus
ERR2367879	NC_001401.2	94	97	19210	Adeno-associated virus
ERR3503302	NC_001401.2	100	95	842	Adeno-associated virus
ERR2367927	NC_001401.2	84	97	290	Adeno-associated virus
ERR2200444	NC_001401.2	79	97	389	Adeno-associated virus
ERR2200445	NC_001401.2	65	95	355	Adeno-associated virus
ERR2200446	NC_001401.2	100	96	1212	Adeno-associated virus
ERR2200447	NC_001401.2	63	95	455	Adeno-associated virus
ERR2200449	NC_001401.2	96	96	528	Adeno-associated virus
ERR2200451	NC_001401.2	100	96	1698	Adeno-associated virus
ERR2200453	NC_001401.2	60	96	227	Adeno-associated virus
ERR2200455	NC_001401.2	100	96	9279	Adeno-associated virus
ERR2367957	NC_001401.2	94	97	29100	Adeno-associated virus
ERR2200457	NC_001401.2	74	96	10040	Adeno-associated virus
ERR2200459	NC_001401.2	96	96	2110	Adeno-associated virus
ERR2200462	NC_001401.2	60	97	955	Adeno-associated virus
SRR10001387	NC_001401.2	53	100	1021	Adeno-associated virus
SRR10001388	NC_001401.2	52	100	3381	Adeno-associated virus
SRR10001389	NC_001401.2	53	100	1300	Adeno-associated virus
ERR1301449	NC_001401.2	51	86	12334	Adeno-associated virus
ERR2367999	NC_001401.2	100	97	1429	Adeno-associated virus
ERR975002	NC_001401.2	51	96	486	Adeno-associated virus
ERR975145	NC_001401.2	61	96	309	Adeno-associated virus
ERR975146	NC_001401.2	95	95	5912	Adeno-associated virus
ERR2835473	NC_001401.2	91	97	2522	Adeno-associated virus
ERR3178964	NC_001401.2	91	97	589	Adeno-associated virus
ERR3178967	NC_001401.2	90	90	204	Adeno-associated virus
ERR3178973	NC_001401.2	100	97	1313506	Adeno-associated virus
ERR2835498	NC_001401.2	50	95	118	Adeno-associated virus
ERR975305	NC_001401.2	100	96	18906	Adeno-associated virus
ERR3179004	NC_001401.2	100	96	25954	Adeno-associated virus
ERR3179010	NC_001401.2	92	90	204	Adeno-associated virus
ERR3179012	NC_001401.2	100	97	5719006	Adeno-associated virus
ERR3179016	NC_001401.2	60	95	185	Adeno-associated virus
