run_id,sequence_accession,score,percent_identity,n_reads
DRR155066,NC_004203.1,1,100,1
DRR155067,NC_004203.1,1,100,1
DRR013858,NC_004203.1,1,100,1
DRR132111,NC_004203.1,1,100,1
ERR1427797,NC_004203.1,1,100,1
ERR1427799,NC_004203.1,1,100,1
DRR022982,NC_004203.1,1,100,1
ERR1737197,NC_004203.1,1,98,3
ERR2200585,NC_004203.1,1,100,1
ERR1137926,NC_004203.1,1,100,1
ERR1137937,NC_004203.1,1,100,1
ERR1725803,NC_004203.1,2,100,2
ERR1137938,NC_004203.1,1,98,1
ERR1137942,NC_004203.1,1,98,1
ERR1817226,NC_004203.1,1,100,2
ERR1110296,NC_004203.1,1,98,7
DRR014831,NC_004203.1,1,100,1
ERR2437223,NC_004203.1,1,100,3
ERR1137974,NC_004203.1,1,99,2
ERR1110316,NC_004203.1,2,100,2
ERR2675608,NC_004203.1,1,100,2
ERR1137984,NC_004203.1,1,99,7
ERR1137985,NC_004203.1,2,99,2
ERR1993141,NC_004203.1,1,100,1
ERR2929082,NC_004203.1,1,100,1
ERR2737759,NC_004203.1,1,91,2
ERR2737760,NC_004203.1,1,91,2
ERR3179229,NC_004203.1,1,91,2
ERR3179324,NC_004203.1,1,91,2
ERR1712002,NC_004203.1,1,100,1
DRR006400,NC_004203.1,1,100,1
SRR10029224,NC_004203.1,1,100,2
ERR844298,NC_004203.1,4,100,8
ERR844300,NC_004203.1,1,100,1
ERR969462,NC_004203.1,3,100,4
ERR844301,NC_004203.1,1,100,2
SRR1042893,NC_004203.1,1,100,1
ERR969489,NC_004203.1,3,99,13
ERR969490,NC_004203.1,4,99,11
ERR844307,NC_004203.1,1,100,3
ERR844310,NC_004203.1,1,100,1
ERR969491,NC_004203.1,3,99,8
ERR844313,NC_004203.1,1,100,1
ERR969496,NC_004203.1,2,99,2
ERR997285,NC_004203.1,1,100,1
ERR969497,NC_004203.1,2,98,2
ERR844317,NC_004203.1,1,100,1
ERR969498,NC_004203.1,6,97,9
ERR844325,NC_004203.1,1,100,1
ERR969503,NC_004203.1,1,100,1
ERR969508,NC_004203.1,3,98,3
ERR969509,NC_004203.1,1,100,1
SRR10097588,NC_004203.1,1,100,1
SRR10008504,NC_004203.1,1,92,1
SRR1067725,NC_004203.1,1,100,1
SRR10510916,NC_004203.1,1,100,1
SRR10870779,NC_004203.1,1,100,1
SRR11348451,NC_004203.1,1,100,1
SRR1145064,NC_004203.1,1,100,1
SRR10511027,NC_004203.1,1,100,1
SRR034466,NC_004203.1,1,100,2
SRR034467,NC_004203.1,1,100,3
SRR1051230,NC_004203.1,1,100,1
SRR1051231,NC_004203.1,1,100,1
SRR10868420,NC_004203.1,1,100,2
SRR11928513,NC_004203.1,95,92,609
SRR10523229,NC_004203.1,1,100,1
SRR11459905,NC_004203.1,1,100,2
SRR11393397,NC_004203.1,1,100,1
SRR10668876,NC_004203.1,1,100,1
ERR1137568,NC_004203.1,2,99,2
SRR10668905,NC_004203.1,1,100,1
SRR10668908,NC_004203.1,1,100,1
SRR1284053,NC_004203.1,1,100,1
SRR1343624,NC_004203.1,1,100,1
SRR1531149,NC_004203.1,1,100,1
SRR2029384,NC_004203.1,16,89,32
SRR2029386,NC_004203.1,7,89,16
SRR2968585,NC_004203.1,1,100,1
SRR2968587,NC_004203.1,1,100,1
SRR2968597,NC_004203.1,1,100,1
ERR1136754,NC_004203.1,4,100,4
SRR2351904,NC_004203.1,1,100,1
SRR2932381,NC_004203.1,1,100,1
SRR3400834,NC_004203.1,10,88,18
SRR3400838,NC_004203.1,3,92,3
SRR3400839,NC_004203.1,8,90,12
SRR2932387,NC_004203.1,1,100,1
SRR2932388,NC_004203.1,1,100,1
SRR3400840,NC_004203.1,8,92,16
SRR3401072,NC_004203.1,66,89,32708
SRR1645134,NC_004203.1,1,97,1
SRR2544800,NC_004203.1,1,100,4
SRR2214039,NC_004203.1,1,100,2
SRR2214068,NC_004203.1,1,100,1
SRR1685997,NC_004203.1,1,100,1
SRR1726675,NC_004203.1,1,100,1
SRR1975196,NC_004203.1,1,100,1
SRR3151885,NC_004203.1,1,100,1
SRR3586814,NC_004203.1,1,96,2
SRR065241,NC_004203.1,1,100,1
SRR4448050,NC_004203.1,1,100,1
SRR504651,NC_004203.1,1,100,1
SRR1533021,NC_004203.1,1,100,1
SRR5195144,NC_004203.1,9,88,8
SRR5195146,NC_004203.1,8,90,8
SRR5195148,NC_004203.1,6,89,7
SRR5223435,NC_004203.1,1,100,1
SRR3335804,NC_004203.1,1,100,1
SRR5171007,NC_004203.1,1,100,1
SRR4318440,NC_004203.1,1,100,1
SRR3329975,NC_004203.1,1,100,6
SRR5195109,NC_004203.1,11,90,15
SRR5525263,NC_004203.1,1,100,1
SRR5525265,NC_004203.1,1,100,1
SRR5195115,NC_004203.1,8,91,10
SRR5145139,NC_004203.1,1,100,2
SRR5195138,NC_004203.1,1,89,1
SRR492052,NC_004203.1,1,100,1
SRR6288001,NC_004203.1,1,100,1
SRR6366091,NC_004203.1,1,100,2
SRR6312630,NC_004203.1,1,100,1
SRR6205680,NC_004203.1,1,100,1
SRR6026685,NC_004203.1,1,89,1
SRR639050,NC_004203.1,1,100,4
SRR639051,NC_004203.1,1,100,3
SRR643745,NC_004203.1,1,100,1
SRR643754,NC_004203.1,1,100,1
SRR646659,NC_004203.1,1,100,1
SRR6955452,NC_004203.1,1,90,1
SRR6994607,NC_004203.1,33,98,92
SRR7227646,NC_004203.1,1,100,1
SRR6839346,NC_004203.1,1,100,1
SRR8447836,NC_004203.1,1,100,1
SRR8558494,NC_004203.1,1,100,1
SRR826220,NC_004203.1,1,100,2
SRR8632427,NC_004203.1,1,100,1
SRR8844461,NC_004203.1,1,100,1
SRR8844468,NC_004203.1,1,100,1
SRR8816618,NC_004203.1,1,100,1
SRR7868779,NC_004203.1,1,100,1
SRR8573839,NC_004203.1,1,100,2
SRR8926294,NC_004203.1,2,98,4
SRR8369825,NC_004203.1,1,100,1
SRR8369832,NC_004203.1,1,100,1
SRR8369834,NC_004203.1,1,100,1
SRR8369837,NC_004203.1,1,100,1
SRR8646217,NC_004203.1,1,100,4
SRR9050988,NC_004203.1,1,100,2
SRR8871980,NC_004203.1,1,97,1
SRR916254,NC_004203.1,1,100,1
SRR8946527,NC_004203.1,1,100,3
SRR9948936,NC_004203.1,1,92,1
SRR8696084,NC_004203.1,1,100,1
SRR8615421,NC_004203.1,2,85,1
