run_id,sequence_accession,score,percent_identity,n_reads
DRR075386,NC_001563.2,1,100,1
DRR075390,NC_001563.2,1,100,1
DRR162420,NC_001563.2,66,87,12878
DRR162421,NC_001563.2,61,89,11640
DRR162416,NC_001563.2,1,100,2
DRR162417,NC_001563.2,1,100,2
DRR162418,NC_001563.2,51,88,12258
DRR162419,NC_001563.2,50,90,13634
ERR1046066,NC_001563.2,1,97,1
DRR060388,NC_001563.2,1,100,1
DRR083075,NC_001563.2,1,97,1
ERR1000770,NC_001563.2,1,97,1
DRR013852,NC_001563.2,1,100,1
DRR083098,NC_001563.2,1,97,1
DRR097439,NC_001563.2,1,100,1
DRR028843,NC_001563.2,1,93,1
DRR048653,NC_001563.2,1,97,2
DRR048654,NC_001563.2,1,97,5
DRR048655,NC_001563.2,4,97,9
DRR048656,NC_001563.2,1,97,1
DRR048657,NC_001563.2,1,97,2
DRR048658,NC_001563.2,1,97,2
DRR048659,NC_001563.2,1,97,3
DRR048660,NC_001563.2,1,97,3
DRR048661,NC_001563.2,1,97,1
DRR048662,NC_001563.2,1,95,6
DRR048663,NC_001563.2,1,97,5
DRR048664,NC_001563.2,4,97,14
DRR048665,NC_001563.2,1,97,7
DRR048666,NC_001563.2,4,97,13
DRR048667,NC_001563.2,4,97,8
DRR048668,NC_001563.2,5,96,13
DRR027586,NC_001563.2,1,100,2
DRR027590,NC_001563.2,1,100,6
DRR027591,NC_001563.2,1,100,2
DRR019433,NC_001563.2,1,89,1
DRR089582,NC_001563.2,1,100,1
DRR031699,NC_001563.2,1,100,1
DRR083261,NC_001563.2,1,97,2
ERR1395939,NC_001563.2,1,97,1
ERR1396859,NC_001563.2,1,97,1
DRR001365,NC_001563.2,2,85,1
ERR1611381,NC_001563.2,1,100,1
ERR1396901,NC_001563.2,1,97,1
ERR1210837,NC_001563.2,1,97,1
ERR1210841,NC_001563.2,1,97,1
ERR1631576,NC_001563.2,1,100,1
ERR1210857,NC_001563.2,1,97,1
ERR1837592,NC_001563.2,1,94,1
ERR1560097,NC_001563.2,1,100,1
ERR1755653,NC_001563.2,1,94,1
DRR128393,NC_001563.2,1,95,2
ERR1938523,NC_001563.2,2,85,2
ERR1190993,NC_001563.2,1,100,1
ERR1737197,NC_001563.2,1,99,2
ERR1938525,NC_001563.2,3,84,6
ERR1938527,NC_001563.2,2,85,2
ERR1938531,NC_001563.2,3,85,4
ERR1190995,NC_001563.2,1,100,1
ERR1190998,NC_001563.2,1,100,1
ERR1663022,NC_001563.2,1,91,1
ERR1191013,NC_001563.2,1,100,2
DRR032257,NC_001563.2,1,94,1
ERR1191018,NC_001563.2,1,100,1
ERR1712073,NC_001563.2,1,97,2
ERR1712074,NC_001563.2,1,97,1
ERR1802074,NC_001563.2,1,100,1
ERR1802075,NC_001563.2,1,100,1
ERR1802077,NC_001563.2,1,100,4
ERR1719153,NC_001563.2,1,100,5
DRR014320,NC_001563.2,1,94,1
ERR2130658,NC_001563.2,1,97,1
ERR2130666,NC_001563.2,1,97,2
ERR2130667,NC_001563.2,1,97,1
ERR2130686,NC_001563.2,1,97,1
ERR1719166,NC_001563.2,1,93,1
ERR1815666,NC_001563.2,5,100,45
ERR1815667,NC_001563.2,2,100,6
ERR1815668,NC_001563.2,5,99,16
ERR2433117,NC_001563.2,1,98,1
ERR1815669,NC_001563.2,8,100,46
ERR1712097,NC_001563.2,1,100,1
ERR1719176,NC_001563.2,1,98,2
ERR2433125,NC_001563.2,1,92,1
ERR2433126,NC_001563.2,1,93,3
ERR2140874,NC_001563.2,1,94,2
ERR2433130,NC_001563.2,1,96,1
ERR2027692,NC_001563.2,1,91,1
ERR1712100,NC_001563.2,1,97,1
ERR1740116,NC_001563.2,1,97,3
ERR1726524,NC_001563.2,1,100,2
ERR2041104,NC_001563.2,1,95,2
ERR1740120,NC_001563.2,1,97,1
ERR1731839,NC_001563.2,1,97,2
ERR1740122,NC_001563.2,1,97,3
ERR1740123,NC_001563.2,4,97,10
ERR162223,NC_001563.2,1,96,1
ERR1731846,NC_001563.2,1,97,1
ERR1121481,NC_001563.2,2,80,1
ERR210489,NC_001563.2,1,97,1
ERR1725803,NC_001563.2,2,99,2
ERR1726529,NC_001563.2,1,97,1
ERR1731863,NC_001563.2,1,97,1
ERR1731864,NC_001563.2,1,88,1
ERR1719195,NC_001563.2,1,97,1
ERR1731867,NC_001563.2,1,97,1
ERR1731868,NC_001563.2,1,97,1
ERR1740129,NC_001563.2,1,97,1
ERR1137940,NC_001563.2,1,100,1
ERR229853,NC_001563.2,1,96,1
DRR001818,NC_001563.2,1,100,1
ERR1719209,NC_001563.2,1,100,1
ERR1719210,NC_001563.2,1,100,1
ERR1712127,NC_001563.2,1,97,2
ERR1712129,NC_001563.2,1,97,3
DRR171178,NC_001563.2,1,92,3
ERR1719215,NC_001563.2,1,100,6
ERR1712131,NC_001563.2,1,100,2
ERR2596696,NC_001563.2,3,86,3
ERR1137953,NC_001563.2,1,100,1
ERR209474,NC_001563.2,1,100,1
ERR1110297,NC_001563.2,1,100,2
ERR2596699,NC_001563.2,7,84,4
ERR1719221,NC_001563.2,1,97,2
ERR2144824,NC_001563.2,1,100,1
ERR1712139,NC_001563.2,1,97,1
ERR1719225,NC_001563.2,1,100,2
ERR1712140,NC_001563.2,1,97,1
ERR219219,NC_001563.2,1,90,1
